"","Layer","Al_median","As_median","Cd_median","Co_median","Cr_median","Cu_median","Fe_median","Mn_median","Ni_median","Pb_median","S_median","Zn_median","Acidity1_median","Acidity_median","Al_min","As_min","Cd_min","Co_min","Cr_min","Cu_min","Fe_min","Mn_min","Ni_min","Pb_min","S_min","Zn_min","Acidity1_min","Acidity_min","Al_max","As_max","Cd_max","Co_max","Cr_max","Cu_max","Fe_max","Mn_max","Ni_max","Pb_max","S_max","Zn_max","Acidity1_max","Acidity_max"
"1","1 No",28.5183227663963,0.00564914048382047,0.0148518879835706,0.226212770383713,0.0257213969808677,0.228609339200009,19.8583187841683,10.4422614349771,1.58577555160044,0.0123473093031635,427.615890328294,1.26428864856923,113.117344273262,167.654281479709,0.993574882426972,0.0025,5e-04,0.0252211857960687,0.00516658938862025,0.0258175559380379,0.999034266875354,1.18899875895752,0.189974670043994,0.001,66.5695171226071,0.149036232364046,11.3778020890712,19.2994898593569,1589.29872193894,0.767992978349912,0.446990265545328,6.58354114713217,0.917705735660848,10.997800439912,1787.96106218131,129.675810473815,9.87531172069825,0.329177057356608,5761.20786702867,24.6950535059493,523.044953488143,860.683144973335
"2","2 No",7.96178343949045,0.0557673524685718,0.00599820053983805,0.309113873562454,0.013998133582189,0.0649584987369181,12.998266897747,14.138081933551,0.831784240209206,0.00541320822807651,406.41004460598,0.897427374858738,58.5923710434018,99.3762136566899,1.09967009897031,0.0025,5e-04,0.0378184713375796,0.0025,0.00634786288616166,1.09967009897031,2.67759743479554,0.110452814219213,0.001,189.456890247956,0.0723943010148425,11.5026073389816,29.8713084860338,201.972599050729,0.868482175918134,0.0626115057057259,6.56410946914869,0.100986299525364,0.38939546354285,1514.79449288047,20.3131612357173,11.1084929477901,0.0214836756615996,1817.75339145656,6.66509576867405,143.762215870025,289.693092977259
"3","2 Yes",801.148312581367,0.0150215308609006,0.0978369384359401,2.80401909403478,0.230491715660075,2.67556318953558,85.8569051580699,87.1859967931588,7.78899649701216,0.0198544010589014,3767.84769962983,16.0229662516273,268.075733041895,330.20112937967,0.25,0.0025,5e-04,0.00229869740480394,0.0025,0.0339807442449279,0.125,0.0919478961921578,0.0299830096278775,0.001,389.779125162408,0.01,64.1027802458307,81.1435587161697,4568.52791878173,1.19577492858566,0.233502538071066,12.9542283930114,3.1887331428951,11.9577492858566,7817.25888324873,639.593908629442,18.9331030359397,0.395631568102205,28426.3959390863,78.1725888324873,1710.42896833473,1879.96118207546
"4","3 Yes",669.352958806487,0.0259818127310882,0.0783552102866327,2.485665992775,0.328129660932684,2.67513197317734,154.363336992316,129.198966408269,5.6619898867602,0.012926319976136,5093.55509355509,13.0790190735695,255.060165263042,313.535740813353,0.25,0.0025,5e-04,0.00445333677552601,0.0025,0.00777460296365207,0.125,0.425072532217799,0.0116174002839809,0.001,271.072673292888,0.01,9.54099598588084,23.724135758614,2999.00033322226,2.19926691102966,0.209930023325558,7.12946846967466,2.18160182461243,11.9768447667842,4660.69480712657,1524.54517735542,9.91669972233241,0.235411613639606,25991.3362212596,56.2433675274142,1861.30394861442,2076.07356759944
