"","Site","Triplicate","Layer","Al","As","Cd","Co","Cr","Cu","Fe","Mn","Ni","Pb","S","Zn","Acidity1","Acidity","Treatment"
"1","S01","A","1 No",429.914017196561,0.0369926014797041,0.0849830033993201,5.69886022795441,0.589882023595281,10.997800439912,569.886022795441,6.19876024795041,6.19876024795041,0.0929814037192562,1799.6400719856,2.3995200959808,187.96216310582,258.395333634831,"Non-incubated"
"2","S01","B","1 No",25.8372254794793,0.0025,0.00258372254794793,0.109311338567028,0.0317996621285899,0.218622677134055,31.7996621285899,4.27307959852927,1.68935705058134,0.00844678525290669,218.622677134055,0.645930636986982,NA,NA,"Non-incubated"
"3","S01","C","1 No",26.8247449993377,0.0025,0.00139091270366936,0.0973638892568552,0.0258312359252881,0.228507087031395,20.8636905550404,2.78182540733872,1.0928599814545,0.00248377268512386,238.44217777189,0.427208901841304,87.4289409743495,121.532656552947,"Non-incubated"
"4","S02","A","1 No",8.6057371581054,0.0025,0.00560373582388259,0.160106737825217,0.00980653769179453,0.0950633755837225,18.0120080053369,21.0140093395597,0.870580386924616,0.00500333555703802,300.200133422282,0.520346897931955,146.297628081444,225.850042004518,"Non-incubated"
"5","S02","A","1 No",8.90712570056045,0.0025,0.00540432345876701,0.160128102481986,0.0130104083266613,0.0990792634107286,18.0144115292234,21.0168134507606,0.860688550840672,0.00500400320256205,290.232185748599,0.540432345876701,146.297628081444,225.850042004518,"Non-incubated"
"6","S02","B","1 No",15.8761659059337,0.0025,0.0041674935503076,0.119071244294503,0.013891645167692,0.168684262750546,18.8529470132963,13.891645167692,0.635046636237349,0.00545743203016472,257.987695971423,0.55566580670768,114.309232664342,165.636177540224,"Non-incubated"
"7","S02","B","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.309232664342,165.636177540224,"Non-incubated"
"8","S02","C","1 No",19.8978576639915,0.0025,0.00696425018239703,0.169131790143928,0.0159182861311932,0.139285003647941,13.9285003647941,18.9029647807919,0.955097167871592,0.00686476089407707,318.365722623864,4.47701797439809,135.977202886652,200.038595737169,"Non-incubated"
"9","S02","C","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.977202886652,200.038595737169,"Non-incubated"
"10","S03","A","1 No",12.001200120012,0.0056005600560056,0.0016001600160016,0.05000500050005,0.022002200220022,0.13001300130013,12.001200120012,3.7003700370037,0.58005800580058,0.0042004200420042,120.01200120012,0.39003900390039,73.4927007557954,113.374303834759,"Non-incubated"
"11","S03","B","1 No",320.491420177606,0.0140214996327702,0.0270414635774855,1.10168925686052,0.320491420177606,5.9090605595246,190.291780730453,24.0368565133204,3.20491420177606,0.0450691059624758,1101.68925686052,1.90291780730453,128.379329463832,172.878720327397,"Non-incubated"
"12","S03","C","1 No",13.7331197070268,0.0025,0.00333518621456365,0.137331197070268,0.0107903083412353,0.28447176535984,1.86378053166792,6.37609129254815,0.794559068763692,0.00421802962430108,166.759310728182,0.598371644377595,79.0567380755095,108.493032507679,"Non-incubated"
"13","S03","C","1 No",14.564049453039,0.0025,0.00398084018383067,0.135931128228364,0.00970936630202602,0.281571622758755,1.9418732604052,6.50527542235743,0.835005501974238,0.00495177681403327,155.349860832416,0.611690077027639,79.0567380755095,108.493032507679,"Non-incubated"
"14","S04","A","1 No",26.596617960926,0.0025,0.00137908389427023,0.0620587752421606,0.0256115580364472,0.167460187161386,13.7908389427023,4.23575767525858,1.67460187161386,0.001,246.264981119685,0.531932359218519,66.9794704640336,90.4167769463085,"Non-incubated"
"15","S04","B","1 No",748.129675810474,0.0887780548628429,0.239401496259352,6.58354114713217,0.917705735660848,4.28927680798005,1596.00997506234,129.675810473815,9.87531172069825,0.329177057356608,3291.77057356609,16.9576059850374,171.169053066749,253.659024541919,"Non-incubated"
