"","Layer","Acidity1_median","Acidity_median","Acidity1_min","Acidity_min","Acidity1_max","Acidity_max"
"1","1 No",111.925455882183,168.012742273126,11.3778020890712,19.2994898593569,523.044953488143,860.683144973335
"2","2 No",58.5923710434018,99.3762136566899,11.5026073389816,29.8713084860338,143.762215870025,289.693092977259
"3","2 Yes",268.075733041895,330.20112937967,64.1027802458307,81.1435587161697,1710.42896833473,1879.96118207546
"4","3 Yes",255.060165263042,313.535740813353,9.54099598588084,23.724135758614,1861.30394861442,2076.07356759944
